Time,Ticker,TF,RSI,RSI Dir,Price %,Candle,Signal
2026-07-02 00:00,BKR,1d,25.05,Falling,-1.93%,🔴,OVERSOLD
2026-07-02 00:00,CINF,1d,81.86,Rising,2.57%,🟢,OVERBOUGHT
2026-07-02 00:00,DOW,1d,24.78,Rising,2.55%,🟢,OVERSOLD
2026-07-02 00:00,DVA,1d,84.42,Rising,3.02%,🟢,OVERBOUGHT
2026-07-02 00:00,GL,1d,81.21,Rising,0.23%,🟢,OVERBOUGHT
2026-07-02 00:00,GPC,1d,83.6,Rising,12.92%,🟢,OVERBOUGHT
2026-07-02 00:00,HAL,1d,26.49,Falling,-0.15%,🔴,OVERSOLD
2026-07-02 00:00,HONA,1d,93.57,Rising,8.74%,🟢,EXTREME OVERBOUGHT
2026-07-02 00:00,LYB,1d,21.77,Rising,1.48%,🟢,OVERSOLD
2026-07-02 00:00,MRNA,1d,80.66,Rising,10.01%,🟢,OVERBOUGHT
2026-07-02 00:00,ORCL,1d,26.72,Falling,-1.56%,🔴,OVERSOLD
2026-07-02 00:00,SLB,1d,25.57,Rising,0.09%,🟢,OVERSOLD
2026-07-02 00:00,T,1d,28.57,Rising,0.49%,🟢,OVERSOLD
2026-07-02 00:00,VRTX,1d,81.05,Rising,6.03%,🟢,OVERBOUGHT
